iter	Passed	Remaining
736	1038817	3189747
737	1041657	3192721
738	1043500	3192632
739	1045246	3192240
740	1047007	3191889
741	1048756	3191498
742	1050425	3190863
743	1052592	3191732
744	1054437	3191620
745	1056326	3191635
746	1058257	3191773
747	1060169	3191846
748	1062045	3191809
749	1064059	3192178
750	1065699	3191423
751	1067486	3191102
752	1069257	3190733
753	1071012	3190310
754	1073043	3190704
755	1075174	3191390
756	1077347	3192192
757	1079177	3191972
758	1080987	3191691
759	1082766	3191311
760	1084418	3190557
761	1086409	3190794
762	1087976	3189781
763	1089459	3188523
764	1090926	3187217
765	1092424	3186001
766	1093902	3184724
767	1095364	3183404
768	1096930	3182382
769	1098735	3182052
770	1100272	3180944
771	1102047	3180520
772	1103470	3179080
773	1105002	3177952
774	1106678	3177238
775	1108343	3176488
776	1109734	3174954
777	1111397	3174196
778	1112865	3172881
779	1114318	3171523
780	1116061	3170986
781	1117588	3169836
782	1119011	3168389
783	1120503	3167136
784	1121881	3165562
785	1123637	3165054
786	1125356	3164438
787	1126871	3163248
788	1128431	3162183
789	1129977	3161075
790	1131370	3159540
791	1132741	3157946
792	1134272	3156796
793	1135801	3155639
794	1137629	3155313
795	1139123	3154056
796	1140967	3153765
797	1142358	3152222
798	1144150	3151782
799	1145849	3151086
800	1147263	3149604
801	1148834	3148551
802	1150359	3147371
803	1152135	3146878
804	1153668	3145716
805	1155606	3145657
806	1157127	3144461
807	1158581	3143081
808	1160150	3142014
809	1162784	3143823
810	1164335	3142700
811	1165847	3141471
812	1167277	3140019
813	1168841	3138928
814	1170670	3138546
815	1172553	3138306
816	1174543	3138345
817	1175977	3136898
818	1177578	3135895
819	1179154	3134826
820	1180871	3134127
821	1182291	3132640
822	1183849	3131519
823	1185356	3130262
824	1186942	3129212
825	1188398	3127818
826	1189906	3126561
827	1191596	3125782
828	1193129	3124589
829	1194752	3123629
830	1196394	3122719
831	1198400	3122755
832	1200025	3121793
833	1201573	3120633
834	1203131	3119495
835	1204680	3118335
836	1206289	3117328
837	1207887	3116291
838	1209758	3115957
839	1211350	3114900
840	1212939	3113836
841	1214893	3113706
842	1216583	3112894
843	1218713	3113207
844	1220730	3113223
845	1222381	3112305
846	1223904	3111058
847	1225483	3109952
848	1226950	3108562
849	1228838	3108238
850	1230371	3107012
851	1232257	3106677
852	1234158	3106375
853	1235716	3105208
854	1237593	3104840
855	1239318	3104088
856	1240902	3102979
857	1242602	3102162
858	1244377	3101527
859	1245948	3100384
860	1247539	3099286
861	1249225	3098426
862	1250784	3097248
863	1252386	3096178
864	1253788	3094609
865	1255516	3093848
866	1257062	3092635
867	1258496	3091145
868	1260345	3090675
869	1262045	3089834
870	1263780	3089080
871	1265360	3087944
872	1266863	3086619
873	1268367	3085295
874	1269906	3084057
875	1271264	3082380
876	1272899	3081375
877	1274404	3080052
878	1276069	3079116
879	1277605	3077867
880	1279336	3077087
881	1281129	3076454
882	1282697	3075277
883	1284477	3074609
884	1286035	3073407
885	1287749	3072577
886	1289436	3071679
887	1291203	3070971
888	1292758	3069755
889	1294186	3068239
890	1295698	3066922
891	1297196	3065571
892	1298917	3064746
893	1300405	3063370
894	1302163	3062629
895	1303712	3061395
896	1305469	3060648
897	1307257	3059973
898	1309406	3060137
899	1311750	3060750
900	1313600	3060207
901	1315319	3059356
902	1317005	3058428
903	1318478	3057003
904	1319965	3055610
905	1321607	3054576
906	1323021	3053013
907	1324534	3051681
908	1326055	3050366
909	1327942	3049888
910	1329493	3048641
911	1330966	3047211
912	1332482	3045882
913	1334000	3044556
914	1335508	3043208
915	1337054	3041944
916	1338829	3041201
917	1340372	3039929
918	1341952	3038741
919	1343411	3037279
920	1344874	3035823
921	1346356	3034414
922	1348141	3033684
923	1349633	3032292
924	1351109	3030867
925	1352812	3029948
926	1354562	3029134
927	1356116	3027881
928	1357920	3027184
929	1359391	3025742
930	1360854	3024283
931	1362624	3023506
932	1364292	3022500
933	1365769	3021070
934	1367267	3019686
935	1368850	3018490
936	1370379	3017174
937	1372075	3016224
938	1373714	3015150
939	1375267	3013884
940	1377056	3013134
941	1378583	3011808
942	1380071	3010399
943	1381581	3009036
944	1383037	3007557
945	1384479	3006047
946	1385888	3004465
947	1387455	3003225
948	1389150	3002262
949	1390747	3001087
950	1392354	2999929
951	1394109	2999092
952	1395589	2997661
953	1397055	2996201
954	1398594	2994895
955	1400286	2993917
956	1401829	2992619
957	1403507	2991609
958	1405049	2990309
959	1406614	2989056
960	1408498	2988479
961	1410058	2987212
962	1411508	2985715
963	1413214	2984755
964	1414682	2983293
965	1416400	2982358
966	1417909	2980982
967	1419292	2979341
968	1420852	2978071
969	1422348	2976667
970	1423944	2975471
971	1425487	2974164
972	1427309	2973439
973	1428876	2972179
974	1430840	2971744
975	1432897	2971500
976	1434486	2970281
977	1436224	2969371
978	1437695	2967909
979	1439151	2966415
980	1440881	2965483
981	1442451	2964222
982	1444219	2963367
983	1445887	2962307
984	1447302	2960725
985	1448795	2959304
986	1450323	2957954
987	1452167	2957248
988	1453682	2955870
989	1455043	2954179
990	1456525	2952733
991	1457977	2951228
992	1459537	2949941
993	1461352	2949168
994	1462771	2947593
995	1464248	2946139
996	1465748	2944728
997	1467524	2943872
998	1469039	2942490
999	1470694	2941389
1000	1472099	2939787
1001	1473812	2938799
1002	1475303	2937369
1003	1476851	2936050
1004	1478722	2935374
1005	1480251	2934017
1006	1481918	2932933
1007	1483664	2932003
1008	1485379	2931012
1009	1487391	2930603
1010	1489111	2929616
1011	1490766	2928501
1012	1492283	2927114
1013	1493980	2926079
1014	1495838	2925358
1015	1497348	2923956
1016	1499046	2922919
1017	1500604	2921609
1018	1502421	2920801
1019	1503861	2919261
1020	1505641	2918379
1021	1507339	2917335
1022	1508780	2915794
1023	1510554	2914898
1024	1512034	2913432
1025	1513549	2912034
1026	1515109	2910721
1027	1516644	2909360
1028	1518394	2908411
1029	1519931	2907054
1030	1521621	2905987
1031	1523385	2905060
1032	1524894	2903646
1033	1526547	2902507
1034	1528331	2901614
1035	1530116	2900723
1036	1531796	2899629
1037	1533369	2898333
1038	1534902	2896962
1039	1536631	2895960
1040	1538197	2894648
1041	1539761	2893333
1042	1541514	2892372
1043	1542967	2890848
1044	1544492	2889457
1045	1545984	2888005
1046	1547522	2886640
1047	1548906	2884985
1048	1550460	2883649
1049	1552011	2882307
1050	1553532	2880908
1051	1555115	2879623
1052	1556784	2878498
1053	1558452	2877371
1054	1560028	2876071
1055	1561458	2874503
1056	1563255	2873608
1057	1564821	2872290
1058	1566422	2871035
1059	1567945	2869636
1060	1569634	2868539
1061	1571091	2867020
1062	1572662	2865707
1063	1574278	2864476
1064	1575684	2862863
1065	1577288	2861609
1066	1578814	2860213
1067	1580629	2859340
1068	1582193	2858012
1069	1584127	2857352
1070	1585849	2856305
1071	1587412	2854973
1072	1588811	2853344
1073	1590642	2852492
1074	1592431	2851563
1075	1593998	2850235
1076	1595775	2849282
1077	1597490	2848215
1078	1599017	2846814
1079	1600525	2845378
1080	1602141	2844133
1081	1603720	2842823
1082	1605187	2841314
1083	1606671	2839836
1084	1608420	2838824
1085	1610036	2837578
1086	1611783	2836560
1087	1613535	2835551
1088	1615172	2834338
1089	1616781	2833075
1090	1618563	2832114
1091	1620016	2830578
1092	1621577	2829229
1093	1623414	2828362
1094	1624975	2827012
1095	1626488	2825578
1096	1627891	2823954
1097	1629614	2822883
1098	1631137	2821466
1099	1632684	2820090
1100	1634350	2818920
1101	1636062	2817827
1102	1637873	2816904
1103	1639525	2815707
1104	1641199	2814545
1105	1642726	2813132
1106	1644484	2812112
1107	1646078	2810812
1108	1647834	2809787
1109	1649605	2808788
1110	1651166	2807428
1111	1652680	2805989
1112	1654222	2804597
1113	1655791	2803252
1114	1657316	2801831
1115	1659050	2800761
1116	1660775	2799677
1117	1662699	2798926
1118	1664352	2797718
1119	1665899	2796331
1120	1667413	2794889
1121	1669165	2793843
1122	1671251	2793356
1123	1672978	2792266
1124	1674821	2791368
1125	1676350	2789946
1126	1678145	2788967
1127	1680258	2788513
1128	1682071	2787560
1129	1683729	2786349
1130	1685595	2785479
1131	1687133	2784068
1132	1688744	2782777
1133	1690200	2781229
1134	1691993	2780235
1135	1693966	2779535
1136	1695682	2778413
1137	1697289	2777111
1138	1698925	2775856
1139	1700601	2774666
1140	1702249	2773428
1141	1703858	2772127
1142	1705490	2770862
1143	1707071	2769513
