Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
35.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,30.0,137.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,0
31.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,159.2,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,0
35.0,Secondary or below,Agricultural,Caste,Muslim,32.0,136.5,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32.0,149.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
41.0,Secondary or below,Services / household and domestic,Caste,Hindu,32.0,145.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Andhra Pradesh,0
43.0,Higher Secondary,Sales,Caste,Hindu,32.0,156.8,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,Urban,Puducherry,0
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,153.1,Higher Secondary,Not working,Caste,Hindu,Urban,Chhattisgarh,0
42.0,Secondary or below,Sales,No caste / tribe,Hindu,32.0,147.3,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,0
30.0,Secondary or below,Sales,Caste,Hindu,30.0,158.1,Secondary or below,Not working,Caste,Hindu,Rural,Punjab,0
52.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40.0,149.7,Secondary or below,Not working,Tribe,Hindu,Rural,Assam,0
29.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,149.8,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
35.0,Secondary or below,Agricultural,Caste,Hindu,28.0,149.7,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
33.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,31.0,140.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Gujarat,0
38.0,Secondary or below,Agricultural,Caste,Hindu,31.0,149.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
54.0,Secondary or below,Agricultural,Caste,Buddhist / Neo-Buddhist,44.0,136.8,Secondary or below,Skilled and unskilled manual,Don't know,Buddhist / Neo-Buddhist,Rural,West Bengal,0
25.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,24.0,157.7,Higher Secondary,Not working,Caste,Hindu,Rural,Jharkhand,1
25.0,Secondary or below,Agricultural,Caste,Hindu,27.0,147.5,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,0
23.0,Secondary or below,Services / household and domestic,Caste,Muslim,20.0,151.7,Secondary or below,Not working,No caste / tribe,Muslim,Urban,Maharashtra,1
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,158.4,Secondary or below,Other,Caste,Hindu,Rural,Gujarat,1
44.0,Higher Secondary,Agricultural,Caste,Hindu,27.0,144.2,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
52.0,Secondary or below,Agricultural,Caste,Hindu,49.0,156.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
44.0,Secondary or below,Agricultural,Tribe,Christian,41.0,152.7,Secondary or below,Agricultural,Tribe,Christian,Rural,Meghalaya,1
38.0,Secondary or below,Services / household and domestic,Caste,Hindu,35.0,144.6,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
36.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,27.0,106.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Tamil Nadu,1
40.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,39.0,149.8,Higher Secondary,Not working,Caste,Muslim,Rural,Telangana,0
35.0,Secondary or below,Agricultural,Caste,Hindu,33.0,149.8,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
31.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,26.0,147.5,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,1
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,151.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
35.0,Higher Secondary,Not working,Caste,Hindu,33.0,150.5,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Himachal Pradesh,0
35.0,Higher Secondary,Agricultural,Caste,Hindu,28.0,154.3,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
45.0,Secondary or below,Services / household and domestic,Caste,Hindu,42.0,146.6,Secondary or below,Not working,Caste,Hindu,Urban,Gujarat,0
46.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,43.0,153.5,Secondary or below,Not working,Caste,Hindu,Rural,Himachal Pradesh,0
50.0,Secondary or below,Agricultural,Caste,Hindu,42.0,159.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
40.0,Secondary or below,Agricultural,Caste,Hindu,30.0,153.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
40.0,Secondary or below,Skilled and unskilled manual,Caste,Christian,36.0,151.6,Secondary or below,Not working,Caste,Christian,Rural,Kerala,0
48.0,Secondary or below,Sales,Caste,Hindu,47.0,160.5,Secondary or below,Not working,Caste,Hindu,Urban,Rajasthan,1
53.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,47.0,154.9,Secondary or below,Agricultural,Tribe,Hindu,Rural,Odisha,1
45.0,Post-Graduate (MBA/MA),Clerical,Caste,Muslim,35.0,149.1,Graduate (B.Tech/B.Sc/BA),Not working,No caste / tribe,Muslim,Urban,Maharashtra,0
48.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,38.0,158.3,Secondary or below,Not working,Don't know,Muslim,Rural,Jammu & Kashmir,0
28.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,25.0,152.7,Secondary or below,Sales,Caste,Hindu,Rural,Madhya Pradesh,0
42.0,Secondary or below,Other,Caste,Hindu,37.0,146.5,Secondary or below,Not working,Caste,Hindu,Urban,Uttar Pradesh,1
33.0,Secondary or below,Agricultural,Caste,Hindu,38.0,154.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,30.0,165.9,Secondary or below,Not working,Caste,Muslim,Rural,Bihar,1
54.0,Secondary or below,Agricultural,Caste,Hindu,48.0,159.6,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
44.0,Secondary or below,Agricultural,Caste,Muslim,41.0,148.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,26.0,151.2,Secondary or below,Not working,Tribe,Hindu,Rural,Rajasthan,1
52.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,37.0,155.4,Higher Secondary,Not working,Caste,Hindu,Rural,Tamil Nadu,1
40.0,Secondary or below,Agricultural,Tribe,Hindu,35.0,147.1,Secondary or below,Agricultural,Tribe,Hindu,Rural,Chhattisgarh,1
46.0,Secondary or below,Agricultural,Caste,Hindu,42.0,151.4,Secondary or below,Not working,Caste,Hindu,Rural,Chhattisgarh,0
37.0,Secondary or below,Agricultural,Caste,Hindu,36.0,144.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Tamil Nadu,1
46.0,Secondary or below,Agricultural,Caste,Hindu,43.0,154.3,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,0
24.0,Secondary or below,Agricultural,Caste,Hindu,21.0,157.3,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,1
40.0,Secondary or below,Agricultural,Caste,Hindu,35.0,154.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,0
35.0,Secondary or below,Agricultural,Caste,Hindu,31.0,159.7,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
34.0,Secondary or below,Agricultural,Caste,Hindu,28.0,154.4,Higher Secondary,Agricultural,Tribe,Hindu,Rural,Maharashtra,1
49.0,Secondary or below,Agricultural,Caste,Hindu,37.0,138.6,Secondary or below,Not working,Caste,Hindu,Rural,Himachal Pradesh,0
32.0,Secondary or below,Agricultural,Caste,Muslim,30.0,153.2,Secondary or below,Not working,Caste,Muslim,Urban,Gujarat,1
31.0,Higher Secondary,Agricultural,Caste,Hindu,28.0,149.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,0
31.0,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,28.0,154.4,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Maharashtra,1
46.0,Secondary or below,Agricultural,Caste,Hindu,41.0,150.5,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,1
40.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,31.0,156.5,Secondary or below,Not working,Caste,Hindu,Rural,Tamil Nadu,0
41.0,Secondary or below,Sales,Don't know,Hindu,37.0,159.2,Secondary or below,Not working,Don't know,Hindu,Urban,Gujarat,1
23.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,22.0,152.8,Secondary or below,Not working,Caste,Hindu,Urban,Haryana,0
38.0,Secondary or below,Agricultural,Caste,Hindu,35.0,155.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,0
29.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,23.0,152.7,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Madhya Pradesh,1
22.0,Secondary or below,Services / household and domestic,Tribe,Hindu,19.0,140.1,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,Rural,Karnataka,1
27.0,Secondary or below,Services / household and domestic,Caste,Hindu,25.0,147.4,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,1
54.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,48.0,153.8,Secondary or below,Other,Caste,Hindu,Rural,Kerala,0
33.0,Post-Graduate (MBA/MA),Agricultural,Caste,Hindu,31.0,151.6,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
38.0,Secondary or below,Services / household and domestic,Tribe,Christian,46.0,157.1,Secondary or below,Agricultural,Tribe,Christian,Rural,Arunachal Pradesh,1
42.0,Secondary or below,Skilled and unskilled manual,Tribe,Christian,40.0,150.4,Secondary or below,Skilled and unskilled manual,Tribe,Christian,Rural,Chhattisgarh,0
50.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,47.0,166.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,0
32.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Tribe,Hindu,26.0,152.6,Higher Secondary,Agricultural,Caste,Hindu,Rural,Gujarat,0
30.0,Graduate (B.Tech/B.Sc/BA),Not working,Tribe,Other,27.0,148.6,Higher Secondary,Agricultural,Tribe,Other,Rural,Arunachal Pradesh,1
35.0,Secondary or below,Agricultural,Tribe,Hindu,33.0,147.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,1
50.0,Secondary or below,Professional / technical / managerial,Caste,Hindu,40.0,153.5,Secondary or below,Not working,Caste,Hindu,Urban,Uttar Pradesh,1
37.0,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Muslim,31.0,154.6,Higher Secondary,Not working,Caste,Muslim,Rural,Punjab,0
29.0,Secondary or below,Skilled and unskilled manual,Caste,Sikh,29.0,154.0,Secondary or below,Not working,Caste,Sikh,Rural,Punjab,1
31.0,Post-Graduate (MBA/MA),Agricultural,Caste,Hindu,30.0,156.6,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Madhya Pradesh,0
38.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,150.3,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Jharkhand,1
32.0,Secondary or below,Agricultural,Tribe,Hindu,25.0,153.1,Graduate (B.Tech/B.Sc/BA),Not working,Tribe,Hindu,Rural,Odisha,0
42.0,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,35.0,147.5,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,1
47.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,41.0,161.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,Rural,Puducherry,1
33.0,Higher Secondary,Agricultural,Caste,Sikh,34.0,152.1,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Sikh,Rural,Punjab,1
50.0,Secondary or below,Sales,Caste,Hindu,45.0,151.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
45.0,Secondary or below,Services / household and domestic,Caste,Hindu,43.0,155.6,Secondary or below,Not working,Caste,Hindu,Urban,Telangana,0
32.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,148.1,Secondary or below,Not working,Caste,Buddhist / Neo-Buddhist,Rural,Uttar Pradesh,1
41.0,Graduate (B.Tech/B.Sc/BA),Agricultural,No caste / tribe,Hindu,31.0,152.2,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,0
31.0,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Muslim,27.0,155.5,Higher Secondary,Professional / technical / managerial,Caste,Muslim,Rural,Jammu & Kashmir,1
48.0,Secondary or below,Agricultural,Tribe,Hindu,45.0,152.4,Secondary or below,Not working,Tribe,Other,Rural,Jharkhand,1
52.0,Secondary or below,Services / household and domestic,Caste,Hindu,42.0,148.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
38.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,33.0,151.9,Secondary or below,Not working,Caste,Hindu,Urban,Gujarat,0
35.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,149.9,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,West Bengal,1
31.0,Secondary or below,Not working,Caste,Hindu,29.0,142.7,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
33.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,149.3,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
49.0,Secondary or below,Agricultural,Caste,Hindu,45.0,161.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
29.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32.0,163.1,Higher Secondary,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,0
52.0,Higher Secondary,Sales,Caste,Christian,49.0,151.0,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Christian,Rural,Kerala,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,36.0,153.4,Secondary or below,Not working,Caste,Muslim,Rural,Rajasthan,1
51.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,42.0,154.1,Secondary or below,Not working,Caste,Hindu,Rural,Tamil Nadu,1
47.0,Secondary or below,Agricultural,Caste,Hindu,42.0,145.1,Higher Secondary,Agricultural,Caste,Hindu,Rural,Maharashtra,0
36.0,Secondary or below,Agricultural,Caste,Hindu,34.0,163.1,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
30.0,Secondary or below,Agricultural,Caste,Hindu,24.0,156.1,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
48.0,Secondary or below,Agricultural,Caste,Hindu,45.0,155.7,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
28.0,Higher Secondary,Sales,No caste / tribe,Muslim,25.0,146.3,Higher Secondary,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,1
37.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,35.0,147.6,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Urban,Karnataka,1
46.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,41.0,159.3,Secondary or below,Not working,Caste,Hindu,Urban,Jammu & Kashmir,1
29.0,Secondary or below,Agricultural,Caste,Hindu,21.0,164.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Tamil Nadu,1
26.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,156.3,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Assam,0
35.0,Secondary or below,Agricultural,Caste,Hindu,30.0,151.2,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,0
34.0,Secondary or below,Clerical,Caste,Hindu,31.0,152.1,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Tamil Nadu,0
46.0,Secondary or below,Sales,Caste,Hindu,44.0,146.6,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
49.0,Secondary or below,Sales,No caste / tribe,Muslim,43.0,142.6,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
51.0,Secondary or below,Agricultural,Caste,Hindu,46.0,151.4,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
27.0,Higher Secondary,Agricultural,Caste,Buddhist / Neo-Buddhist,18.0,158.2,Higher Secondary,Agricultural,Caste,Hindu,Rural,Maharashtra,0
40.0,Secondary or below,Services / household and domestic,Caste,Sikh,41.0,151.2,Secondary or below,Skilled and unskilled manual,Caste,Sikh,Rural,Punjab,1
45.0,Secondary or below,Agricultural,Caste,Hindu,37.0,148.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Tamil Nadu,0
53.0,Secondary or below,Services / household and domestic,Caste,Hindu,44.0,155.5,Secondary or below,Not working,Caste,Hindu,Rural,Puducherry,0
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,148.7,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
35.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,28.0,149.4,Secondary or below,Agricultural,Tribe,Hindu,Rural,Rajasthan,0
40.0,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Hindu,39.0,158.0,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Gujarat,1
44.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38.0,157.3,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Kerala,0
33.0,Secondary or below,Agricultural,No caste / tribe,Muslim,29.0,151.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,0
43.0,Secondary or below,Agricultural,Caste,Sikh,43.0,160.6,Secondary or below,Not working,Caste,Sikh,Rural,Punjab,0
35.0,Secondary or below,Agricultural,Caste,Sikh,37.0,154.0,Secondary or below,Not working,Caste,Sikh,Rural,Punjab,1
25.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,19.0,156.1,Secondary or below,Not working,Caste,Hindu,Rural,Assam,1
26.0,Secondary or below,Agricultural,Tribe,Hindu,26.0,154.5,Higher Secondary,Agricultural,Tribe,Hindu,Rural,Rajasthan,0
53.0,Secondary or below,Other,No caste / tribe,Hindu,45.0,147.7,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,1
31.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,157.2,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,0
40.0,Secondary or below,Agricultural,No caste / tribe,Hindu,33.0,162.1,Secondary or below,Not working,No caste / tribe,Hindu,Rural,West Bengal,0
41.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,33.0,152.8,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,Rural,Tamil Nadu,1
45.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,44.0,153.0,Secondary or below,Not working,Caste,Hindu,Urban,Punjab,0
45.0,Secondary or below,Agricultural,Caste,Hindu,42.0,146.2,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,0
30.0,Secondary or below,Other,No caste / tribe,Muslim,26.0,159.7,Secondary or below,Not working,Caste,Muslim,Rural,Madhya Pradesh,0
34.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,28.0,151.0,Secondary or below,Not working,Caste,Hindu,Urban,Telangana,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,143.4,Higher Secondary,Not working,Caste,Hindu,Rural,Haryana,1
41.0,Secondary or below,Agricultural,Caste,Hindu,38.0,142.0,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
53.0,Secondary or below,Agricultural,Caste,Hindu,47.0,154.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
42.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,38.0,155.3,Secondary or below,Agricultural,Caste,Muslim,Rural,Andhra Pradesh,0
44.0,Secondary or below,Agricultural,Caste,Hindu,43.0,152.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,0
33.0,Secondary or below,Agricultural,Caste,Hindu,33.0,152.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
43.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,30.0,152.1,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Jharkhand,0
44.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,37.0,159.1,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Urban,Uttarakhand,0
28.0,Secondary or below,Agricultural,Caste,Muslim,24.0,154.1,Secondary or below,Not working,Caste,Muslim,Rural,Bihar,1
36.0,Secondary or below,Agricultural,Caste,Hindu,33.0,158.6,Higher Secondary,Not working,Caste,Hindu,Rural,Madhya Pradesh,0
35.0,Secondary or below,Not working,Caste,Hindu,32.0,153.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Karnataka,1
27.0,Secondary or below,Agricultural,Tribe,Hindu,21.0,141.2,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Karnataka,1
29.0,Secondary or below,Agricultural,Caste,Sikh,32.0,161.3,Secondary or below,Not working,Caste,Hindu,Rural,Haryana,0
51.0,Secondary or below,Agricultural,Caste,Hindu,47.0,153.2,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
45.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,33.0,152.4,Higher Secondary,Professional / technical / managerial,Caste,Hindu,Rural,Uttar Pradesh,1
25.0,Secondary or below,Agricultural,Caste,Hindu,23.0,148.7,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,0
30.0,Secondary or below,Agricultural,Caste,Hindu,28.0,150.6,Secondary or below,Not working,Caste,Hindu,Rural,Chhattisgarh,0
25.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,23.0,152.1,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,0
39.0,Secondary or below,Sales,No caste / tribe,Muslim,22.0,150.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
43.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,43.0,152.4,Secondary or below,Sales,Caste,Hindu,Rural,Chhattisgarh,0
32.0,Secondary or below,Agricultural,Caste,Hindu,24.0,155.0,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,0
24.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,23.0,143.3,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,1
38.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Tribe,Buddhist / Neo-Buddhist,41.0,162.2,Secondary or below,Not working,Caste,Buddhist / Neo-Buddhist,Rural,Himachal Pradesh,1
53.0,Secondary or below,Agricultural,Caste,Hindu,47.0,156.7,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
42.0,Secondary or below,Agricultural,Caste,Muslim,39.0,157.9,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,0
40.0,Higher Secondary,Clerical,Caste,Hindu,31.0,143.9,Higher Secondary,Services / household and domestic,Caste,Hindu,Rural,Tamil Nadu,0
45.0,Secondary or below,Services / household and domestic,Caste,Hindu,40.0,152.3,Secondary or below,Agricultural,Caste,Hindu,Urban,Telangana,1
45.0,Secondary or below,Agricultural,Caste,Hindu,45.0,153.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,0
41.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40.0,157.4,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Haryana,0
29.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,25.0,142.2,Secondary or below,Not working,Caste,Hindu,Rural,Andhra Pradesh,1
45.0,Secondary or below,Sales,Caste,Hindu,41.0,145.5,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Uttar Pradesh,1
39.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,38.0,137.2,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,0
51.0,Secondary or below,Agricultural,Caste,Hindu,48.0,151.3,Secondary or below,Not working,Caste,Hindu,Rural,Assam,1
40.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Tribe,Christian,30.0,152.6,Secondary or below,Not working,Tribe,Christian,Rural,Nagaland,0
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32.0,156.6,Secondary or below,Not working,Caste,Hindu,Urban,Karnataka,1
48.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,45.0,154.4,Higher Secondary,Not working,Caste,Hindu,Urban,Tamil Nadu,0
46.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,33.0,148.2,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
50.0,Secondary or below,Professional / technical / managerial,Don't know,Christian,38.0,149.9,Secondary or below,Not working,Tribe,Christian,Urban,Arunachal Pradesh,1
43.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40.0,154.5,Secondary or below,Not working,Caste,Hindu,Urban,Haryana,1
30.0,Secondary or below,Clerical,Caste,Hindu,25.0,159.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,1
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38.0,140.1,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttar Pradesh,1
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,29.0,152.1,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttar Pradesh,0
31.0,Secondary or below,Services / household and domestic,Tribe,Other,30.0,151.9,Higher Secondary,Not working,Tribe,Other,Rural,Arunachal Pradesh,0
35.0,Higher Secondary,Sales,Caste,Hindu,31.0,152.1,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Jharkhand,0
28.0,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Muslim,25.0,154.7,Secondary or below,Services / household and domestic,Caste,Muslim,Urban,Jammu & Kashmir,0
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,27.0,148.2,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
46.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,44.0,156.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,0
35.0,Secondary or below,Services / household and domestic,Caste,Hindu,32.0,154.0,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Rajasthan,0
48.0,Secondary or below,Agricultural,Caste,Hindu,37.0,153.5,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Madhya Pradesh,1
47.0,Secondary or below,Services / household and domestic,Caste,Hindu,37.0,152.2,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,1
40.0,Post-Graduate (MBA/MA),Agricultural,Caste,Hindu,38.0,150.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
