Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
45.0,Secondary or below,Agricultural,Caste,Hindu,37.0,157.5,Secondary or below,Agricultural,Tribe,Hindu,Rural,West Bengal,1
29.0,Secondary or below,Services / household and domestic,Caste,Hindu,27.0,149.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,1
47.0,Secondary or below,Agricultural,Tribe,Christian,45.0,144.7,Secondary or below,Agricultural,Tribe,Christian,Rural,Nagaland,0
45.0,Secondary or below,Not working,Caste,Sikh,39.0,152.1,Secondary or below,Not working,Caste,Sikh,Rural,Punjab,1
45.0,Secondary or below,Agricultural,Caste,Hindu,43.0,150.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,1
42.0,Secondary or below,Sales,Caste,Hindu,36.0,156.7,Secondary or below,Sales,Caste,Hindu,Rural,Rajasthan,1
41.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,35.0,160.5,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Urban,Haryana,0
35.0,Secondary or below,Sales,Caste,Hindu,35.0,156.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,1
29.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,26.0,146.5,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,1
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,31.0,144.0,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
34.0,Secondary or below,Services / household and domestic,Caste,Hindu,25.0,154.4,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Manipur,0
37.0,Higher Secondary,Services / household and domestic,Caste,Hindu,29.0,152.1,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Rural,Kerala,0
52.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,45.0,156.7,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Uttar Pradesh,0
35.0,Secondary or below,Agricultural,Caste,Hindu,28.0,146.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,0
45.0,Secondary or below,Sales,No caste / tribe,Muslim,37.0,165.2,Secondary or below,Not working,Caste,Muslim,Urban,Karnataka,0
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,27.0,149.2,Secondary or below,Not working,Caste,Hindu,Rural,Kerala,0
36.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,37.0,148.1,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Jharkhand,1
35.0,Secondary or below,Professional / technical / managerial,Tribe,Christian,37.0,158.7,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Tribe,Christian,Rural,Mizoram,0
25.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24.0,145.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
35.0,Secondary or below,Services / household and domestic,Caste,Hindu,29.0,144.2,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,Karnataka,0
33.0,Secondary or below,Other,Caste,Muslim,31.0,152.8,Secondary or below,Not working,Caste,Muslim,Urban,Gujarat,0
34.0,Secondary or below,Other,Tribe,Buddhist / Neo-Buddhist,31.0,148.3,Secondary or below,Not working,Caste,Buddhist / Neo-Buddhist,Rural,Arunachal Pradesh,1
