Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never",Marital_Stability_Target
25,Post-Graduate (MBA/MA),Agricultural,Caste,Muslim,29,159.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
32,Secondary or below,Skilled and unskilled manual,Caste,Muslim,30,157.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
45,Secondary or below,Agricultural,Caste,Muslim,43,157.3,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
30,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,26,147.1,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Respondent and husband/partner,Never afraid,1
41,Secondary or below,Agricultural,Caste,Muslim,38,164.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
27,Higher Secondary,Agricultural,Caste,Muslim,26,159.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
33,Secondary or below,Skilled and unskilled manual,Caste,Muslim,30,149.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
50,Secondary or below,Agricultural,Caste,Muslim,49,156.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
34,Higher Secondary,Other,Caste,Muslim,30,164.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
43,Graduate (B.Tech/B.Sc/BA),Clerical,Caste,Muslim,42,139.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
32,Secondary or below,Sales,Caste,Muslim,30,153.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
29,Graduate (B.Tech/B.Sc/BA),Agricultural,No caste / tribe,Muslim,27,149.2,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Never afraid,1
30,Secondary or below,Agricultural,Caste,Muslim,28,151.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
29,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,24,159.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
31,Secondary or below,Skilled and unskilled manual,Caste,Muslim,28,162.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
